analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerStimulusMean,viewingCountPerStimulusMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullCoverageSlideMean,averageConvexHullCoverageSlideMedian,rawRowCount,gazePointCount,gazePointProportion,nonDuplicateGazePointCount,nonDuplicateGazePointProportion,fixationCount,fixationProportion,fixationNonDuplicateProportion,hazardFixation%,Electrical Hazards Identified,HRI Electrical,Gravity Hazards Identified,HRI Gravity,Mechanical Hazards Identified,HRI Mechanical,Motion Hazards Identified,HRI Motion,Pressure Hazards Identified,HRI Pressure,All Hazards Identified,HRI All,all viewing time,HRPS
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,001_waelC,dg2YWqKpuAcww2fNL,1,1,1,119984,119984,119984,0.03901833853061047,0.03901833853061047,7391,4385,0.5932891354349885,2059,0.4695553021664766,208,0.04743443557582668,0.1010199125789218,0.262135922,1,1,1,0.5,0,0,0,0,0,0,2,0.285714286,119984,0.016668889
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,017_abyB,dkmDn73a8xbrwKbiS,1,1,1,31182,31182,31182,0.06587556783326096,0.06587556783326096,2846,2211,0.7768798313422347,1800,0.8141112618724559,71,0.03211216644052465,0.03944444444444444,0.568627451,0,0,2,0.5,1,1,1,0.5,0,0,4,0.5,40276,0.099314728
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,017_abyC,dufWjiuLsdkXzbgvd,NaN,NaN,0,NaN,NaN,0,NaN,NaN,3028,906,0.29920739762219284,650,0.717439293598234,33,0.03642384105960265,0.05076923076923077,0.5,1,1,1,0.5,1,1,0,0,0,0,3,0.428571429,35298,0.084990651
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,001_waelA,ev5aD6bFLF48aAQK6,1,1,1,87607,87607,87607,0.02938470203766026,0.02938470203766026,12271,3218,0.2622443158666775,1223,0.3800497203231821,155,0.048166563082660034,0.1267375306623058,0.68707483,0,0,1,1,1,1,1,0.125,0,0,3,0.3,87607,0.034243839
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,002_ulisesB,hDkcbtEgujPsJf9Rv,1,1,1,107007,107007,107007,0.18113161306983033,0.18113161306983033,6452,6255,0.9694668319900805,3240,0.5179856115107914,282,0.04508393285371703,0.08703703703703704,0.617977528,0,0,3,0.75,1,1,1,0.5,1,1,6,0.75,107007,0.056071098
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,012_guillermoC,jYqLcLcxBNeAvug2E,1,1,1,58266,58266,58266,0.06394659243513046,0.06394659243513046,4097,3913,0.9550890895777399,3134,0.8009200102223358,119,0.03041144901610018,0.037970644543714106,0.57,1,1,1,0.5,0,0,1,0.333333333,0,0,3,0.428571429,61170,0.049043649
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,016_brianB,je5Azod2pvabXoNsq,1,1,1,69170,69170,69170,0.13559731302697028,0.13559731302697028,4198,3794,0.9037636969985707,2199,0.5795993674222456,152,0.040063257775434895,0.06912232833105958,0.646616541,0,0,2,0.5,1,1,2,1,0,0,5,0.625,69170,0.072285673
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,005_saraA,kW3cWdxLzrmwSCBq9,1,1,1,97165,97165,97165,0.18118741375709535,0.18118741375709535,12992,5119,0.3940116995073892,3244,0.6337175229537019,236,0.04610275444422739,0.07274969173859433,0.691428571,0,0,1,1,1,1,4,0.5,0,0,6,0.6,97165,0.06175063
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,006_nathanC,kfc3yr8HpHttPp4aB,1,1,1,61237,61237,61237,0.07689255943268214,0.07689255943268214,3727,3674,0.98577944727663,2369,0.6448013064779532,149,0.04055525313010343,0.06289573659772056,0.590909091,1,1,1,0.5,1,1,0,0,0,0,3,0.428571429,61237,0.04898999
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,006_nathanA,mJWainACJSd5T2dqQ,1,1,1,60706,60706,60706,0.08965755018530924,0.08965755018530924,8200,3416,0.4165853658536585,2170,0.6352459016393442,155,0.04537470725995316,0.07142857142857142,0.728971963,0,0,0,0,1,1,3,0.375,0,0,4,0.4,60706,0.065891345
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,010_jessicaA,oz9j9NnXCe6Yt88vQ,1,1,1,72040,72040,72040,0.0744233963722219,0.0744233963722219,9447,4101,0.4341060654175929,2436,0.5940014630577908,220,0.05364545232870032,0.090311986863711,0.736842105,0,0,0,0,1,1,4,0.5,0,0,5,0.5,72040,0.069405886
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,009_joeC,pLhn65RMymWaJ6fWi,1,1,1,45688,45688,45688,0.03381685540482656,0.03381685540482656,2793,2613,0.9355531686358755,1499,0.5736701109835438,139,0.05319556065824722,0.09272848565710473,0.5625,1,1,2,1,1,1,0,0,0,0,4,0.571428571,45688,0.087550341
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,006_nathanB,pj79KYu5YHbsnH8SW,1,1,1,60441,60441,60441,0.10193383771680471,0.10193383771680471,3672,3604,0.9814814814814815,2381,0.6606548279689234,160,0.04439511653718091,0.06719865602687947,0.669565217,0,0,2,0.5,1,1,1,0.5,0,0,4,0.5,60441,0.066180242
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,002_ulisesC,rBTaifh8DNm8rgif4,1,1,1,139418,139418,139418,0.12916064914256511,0.12916064914256511,8428,8300,0.984812529663028,5069,0.610722891566265,376,0.04530120481927711,0.07417636614716906,0.556338028,1,1,1,0.5,1,1,1,0.333333333,0,0,4,0.571428571,139418,0.0286907
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,018_aaronB,u5QmcgeMY6MxF5wSB,1,1,1,50450,50450,50450,0.04821885036866796,0.04821885036866796,5267,3893,0.7391304347826086,3172,0.8147957873105575,107,0.02748522989982019,0.03373266078184111,0.564705882,0,0,2,0.5,1,1,1,0.5,1,1,5,0.625,76870,0.065044881
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,005_saraC,uHMn3ZgeoKLbCgTQw,1,1,1,68057,68057,68057,0.09674535429360084,0.09674535429360084,4103,3713,0.9049475993175725,2475,0.6665768920010773,153,0.04120657150552114,0.06181818181818182,0.504424779,1,1,1,0.5,0,0,0,0,0,0,2,0.285714286,68057,0.029387131
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,009_joeA,urKcsfb3NbnnwAkgM,1,1,1,52640,52640,52640,0.09399319598580197,0.09399319598580197,7184,2892,0.40256124721603564,1565,0.5411479944674965,162,0.056016597510373446,0.10351437699680512,0.739837398,0,0,1,1,1,1,4,0.5,0,0,6,0.6,52640,0.113981763
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,014_dougC,vryfQMnSCA4pWBQ2P,2,2,2,95440.5,95440.5,190881,0.0694483120677446,0.0694483120677446,11887,10911,0.9178934970976698,8271,0.7580423425900468,386,0.03537714233342498,0.046669084753959617,0.558823529,1,1,1,0.5,0,0,3,1,0,0,5,0.714285714,190881,0.02619433
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,007_kyleB,wnEopqALS9QZXFf9K,1,1,1,87143,87143,87143,0.10273836020422841,0.10273836020422841,5339,4813,0.9014796778422925,2611,0.5424890920423852,198,0.04113858300436318,0.07583301417081578,0.576,0,0,2,0.5,1,1,1,0.5,0,0,4,0.5,87143,0.045901564
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,014_dougA,zGBewLrkuHMSgvwkR,1,1,1,104567,104567,104567,0.1294337512659263,0.1294337512659263,13658,5439,0.3982281446771123,3809,0.7003125574554147,246,0.04522890237175951,0.06458388028353898,0.7875,0,0,1,1,1,1,6,0.75,0,0,8,0.8,104567,0.076505972
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,003_sravanA,zQXrgyqRugZ7Cya4D,1,1,1,85085,85085,85085,0.10337701451847066,0.10337701451847066,11161,4702,0.4212884150165756,2868,0.6099532113994045,217,0.04615057422373458,0.07566248256624826,0.698412698,0,0,0,0,1,1,5,0.625,0,0,6,0.6,85085,0.070517718
