"i","t"
891,"21075.9520"
892,"21092.6660"
893,"21109.1860"
894,"21125.9030"
895,"21142.4970"
896,"21159.1510"
897,"21175.6350"
898,"21192.3890"
899,"21208.8280"
900,"21225.3470"
901,"21242.2000"
902,"21259.1430"
903,"21275.3540"
904,"21291.8080"
905,"21308.8000"
906,"21325.5980"
907,"21341.7060"
908,"21540.7500"
909,"21557.3670"
910,"21574.1290"
911,"21590.9000"
912,"21607.2190"
913,"21623.9210"
914,"21640.7140"
915,"21656.8910"
916,"21673.4900"
917,"21690.0600"
918,"21706.6650"
919,"21723.2850"
920,"21739.8140"
921,"21756.5680"
922,"21773.0450"
923,"21789.8780"
924,"21806.4170"
925,"21823.3390"
926,"21839.5850"
927,"21856.5880"
928,"21872.6610"
929,"21889.4150"
930,"21906.2700"
931,"21922.5060"
932,"21939.1570"
933,"21956.0550"
934,"21972.6950"
935,"21989.1550"
936,"22005.7220"
937,"22022.2900"
938,"22038.8190"
939,"22055.2690"
940,"22071.6360"
941,"22088.3940"
942,"22104.9300"
943,"22122.2910"
944,"22138.2440"
945,"22154.7390"
946,"22171.5950"
947,"22187.9310"
948,"22205.0560"
949,"22221.2490"
950,"22237.8960"
951,"22254.4260"
952,"22270.8640"
953,"22287.6160"
954,"22304.4370"
955,"22321.1870"
956,"22337.7300"
957,"22354.2930"
958,"22371.2370"
959,"22387.6540"
960,"22404.1800"
961,"22420.7430"
962,"22437.2650"
963,"22454.0930"
964,"22470.4810"
965,"22487.1700"
966,"22503.4470"
967,"22519.8850"
968,"22536.9980"
969,"22553.0260"
970,"22569.7990"
971,"22586.2230"
972,"22602.8420"
973,"22619.9460"
974,"22636.0150"
975,"22652.6030"
976,"22669.1530"
977,"22685.7360"
978,"22702.4950"
979,"22719.2110"
980,"22735.6910"
981,"22752.4290"
982,"22768.8870"
983,"22785.3590"
984,"22802.4270"
985,"22819.1300"
986,"22835.2210"
987,"22852.1200"
988,"22868.7830"
989,"22884.9510"
990,"22901.9390"
991,"22918.2780"
992,"22935.1960"
993,"22951.9420"
994,"22967.9260"
995,"22984.9510"
996,"23001.1560"
997,"23017.7210"
998,"23034.7740"
999,"23051.4310"
1000,"23067.5260"
1001,"23084.1860"
1002,"23100.7230"
1003,"23117.2960"
1004,"23133.8390"
1005,"23151.0380"
1006,"23167.6790"
1007,"23183.5690"
1008,"23200.5880"
1009,"23217.3110"
1010,"23233.9920"
1011,"23250.3910"
1012,"23267.1250"
1013,"23283.4070"
1014,"23300.3610"
1015,"23316.3850"
1016,"23333.0350"
1017,"23350.0440"
1018,"23366.1640"
1019,"23382.9140"
1020,"23399.7900"
1021,"23416.4840"
1022,"23433.0220"
1023,"23449.6760"
1024,"23466.1230"
1025,"23482.3150"
1026,"23499.3020"
1027,"23515.6400"
1028,"23532.3360"
1029,"23549.1690"
1030,"23565.8230"
1031,"23582.1020"
1032,"23598.4820"
1033,"23615.6620"
1034,"23631.7500"
1035,"23648.3330"
1036,"23665.4140"
1037,"23681.6460"
1038,"23698.3710"
1039,"23715.2710"
1040,"23731.7810"
1041,"23748.3360"
1042,"23764.9180"
1043,"23781.1910"
1044,"23798.0960"
1045,"23814.3540"
1046,"23831.4050"
1047,"23847.9140"
1048,"23864.4640"
1049,"23881.0440"
1050,"23897.6760"
1051,"23914.6880"
1052,"23930.8690"
1053,"23947.5710"
1054,"23963.9290"
1055,"23980.4440"
1056,"23997.2500"
1057,"24013.4020"
1058,"24030.2090"
1059,"24046.6160"
1060,"24063.3230"
1061,"24079.8850"
1062,"24096.4830"
1063,"24112.9920"
1064,"24129.5940"
1065,"24146.2000"
1066,"24162.7560"
1067,"24179.4360"
1068,"24195.9480"
1069,"24212.5940"
1070,"24229.1610"
1071,"24245.7870"
1072,"24262.2960"
1073,"24279.5180"
1074,"24295.5350"
1075,"24312.1620"
1076,"24328.7860"
1077,"24561.1850"
1078,"24577.7250"
1079,"24594.5180"
1080,"24611.1330"
1081,"24627.6590"
1082,"24644.0510"
1083,"24660.5540"
1084,"24859.7790"
1085,"24876.3730"
1086,"24893.0180"
1087,"24909.6040"
1088,"24926.1790"
1089,"24942.7450"
1090,"24959.4670"
1091,"25158.5060"
1092,"25175.2410"
1093,"25191.6440"
1094,"25407.5440"
1095,"25424.0490"
1096,"25440.5840"
1097,"25457.4070"
1098,"25473.8500"
1099,"25490.4050"
1100,"25507.1590"
1101,"25523.5690"
1102,"25540.2310"
1103,"25556.7850"
1104,"25573.4220"
1105,"25589.9590"
1106,"25606.5760"
1107,"25623.3110"
1108,"25639.8720"
1109,"25656.7350"
1110,"25673.1170"
1111,"25689.7440"
1112,"25706.4860"
1113,"25723.2680"
1114,"25739.7870"
1115,"25756.5090"
1116,"25772.9040"
1117,"25790.0720"
1118,"25806.1730"
1119,"25822.7620"
1120,"25839.5450"
1121,"25855.7690"
1122,"25872.5320"
1123,"25889.1790"
1124,"25905.5990"
1125,"25922.3530"
1126,"25938.5760"
1127,"25955.7660"
1128,"25972.0270"
1129,"25988.4430"
1130,"26005.0340"
1131,"26022.0130"
1132,"26038.5870"
1133,"26054.7750"
1134,"26071.4050"
1135,"26088.5400"
1136,"26104.4920"
1137,"26121.0980"
1138,"26138.0510"
1139,"26154.2610"
1140,"26170.8500"
1141,"26187.7810"
1142,"26204.5530"
1143,"26220.5820"
1144,"26237.2320"
1145,"26253.7180"
1146,"26270.3560"
1147,"26287.3920"
