"study","analysis","participant","stimulus","viewingNumber","period","startIndex","endIndex","startTime","endTime","hullPeriod","timeStep","duration","pointCount","pointsX","pointsY","lastPointX","lastPointY","distance","distanceX","distanceY","centroidX","centroidY","centroidDistance","centroidDistanceX","centroidDistanceY","stimulusWidth","stimulusHeight","stimulusArea","area","areaDuration","averageArea","coverage","coverageDuration","averageCoverage"
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,41,45,"34253","39116",4863,549,380,5,"[225,166,226,167,189]","[203,351,120,213,175]","189","175",43.9089968002003,22,-38,193.51485300908112,225.89682417526038,0.8662956702221478,0.0074299742319396955,-0.8662638072368907,648,521,337608,964.5,366510,4523.566312869377,0.0028568635814317195,1.0856081609440533,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,42,46,"34734","39496",4762,380,764,5,"[166,226,167,189,199]","[351,120,213,175,151]","199","151",26,10,-24,187.19257053411218,222.7925018134616,7.043299867197434,-6.322282474968944,-3.104322361798779,648,521,337608,1921.5,1468026,4523.566312869377,0.0056915120494775,4.3483152058008105,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,47,"38567","40260",1693,764,564,4,"[167,189,199,220]","[213,175,151,199]","220","199",52.392747589718944,21,48,195.33333333333334,187.66666666666666,36.056848360789914,8.140762799221164,-35.12583514679494,648,521,337608,1345,758580,4523.566312869377,0.0039839103338783445,2.246925428307386,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,48,"38567","40824",2257,564,564,5,"[167,189,199,220,236]","[213,175,151,199,161]","236","161",41.23105625617661,16,-38,203.51180744777474,181.50317892824705,10.240899371746451,8.1784741144414,-6.1634877384196045,648,521,337608,450,253800,4523.566312869377,0.0013329068031563234,0.7517594369801663,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,49,"38567","41388",2821,564,780,6,"[167,189,199,220,236,164]","[213,175,151,199,161,331]","164","331",184.61852561430555,-72,170,191.899334338106,220.21904044209998,40.41988946648194,-11.612473109668741,38.71586151385293,648,521,337608,4443,3465540,4523.566312869377,0.013160233169830098,10.264981872467477,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,50,"38567","42168",3601,780,233,7,"[167,189,199,220,236,164,233]","[213,175,151,199,161,331,172]","233","172",173.32628190785147,69,-159,192.37260307541507,220.2330453960669,0.4734759090489577,0.4732687373090698,0.01400495396691781,648,521,337608,610.5,142246.5,4523.566312869377,0.001808310229615412,0.421336283500391,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,51,"38567","42401",3834,233,249,8,"[167,189,199,220,236,164,233,209]","[213,175,151,199,161,331,172,304]","209","304",134.16407864998737,-24,132,195.76932826362483,235.99607506439347,16.124851823466848,3.396725188209757,15.763029668326567,648,521,337608,4474.5,1114150.5,4523.566312869377,0.01325353664605104,3.3001306248667093,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,52,"38567","42650",4083,249,265,9,"[167,189,199,220,236,164,233,209,186]","[213,175,151,199,161,331,172,304,298]","186","298",23.769728648009426,-23,-6,195.76932826362483,235.99607506439347,0,0,0,648,521,337608,5395,1429675,4523.566312869377,0.015980071562285255,4.234718964005593,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,53,"38567","42915",4348,265,233,10,"[167,189,199,220,236,164,233,209,186,127]","[213,175,151,199,161,331,172,304,298,515]","127","515",224.8777445635739,-59,217,182.0366166684914,291.4325754534506,57.11210855099859,-13.732711595133424,55.43650038905716,648,521,337608,9964,2321612,4523.566312869377,0.029513518636999123,6.876649842420796,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,44,54,"38567","43148",4581,233,913,11,"[167,189,199,220,236,164,233,209,186,127,223]","[213,175,151,199,161,331,172,304,298,515,121]","223","121",405.52681785549026,96,-394,183.7878798418606,284.52554693749784,7.1255852828089905,1.751263173369182,-6.907028515952788,648,521,337608,3348,3056724,4523.566312869377,0.009916826615483045,9.05406269993602,0.013398871806560795
